Institution,ImageCount,LinkCount,UsesJavaScript,CertificateInfo,HostInfo
Fox Valley Technical College,11,165,True,,
Gateway Technical College,22,52,True,,
Lakeshore Technical College,22,113,True,,
Madison College,20,181,True,,
Mid-State Technical College,145,582,True,,
Moraine Park Technical College,39,119,True,,
Northcentral Technical College,10,71,True,,
Northeast Wisconsin Technical College,13,145,True,,
University of Wisconsin-Eau Claire,25,102,True,,
University of Wisconsin-Green Bay,12,309,True,,
University of Wisconsin-La Crosse,37,199,True,,
University of Wisconsin-Madison,12,85,True,,
University of Wisconsin-Oshkosh,5,79,True,,
University of Wisconsin-Parkside,36,250,True,,
University of Wisconsin-Platteville,14,79,True,,
University of Wisconsin-River Falls,19,195,True,,
University of Wisconsin-Stevens Point,21,187,True,,
University of Wisconsin-Stout,14,224,True,,
Waukesha County Technical College,22,201,True,,
Western Technical College,24,269,True,,
